ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
1582,Kodagu,India,IND,kfa,Definitely endangered,"Coorgi
",,166187.0,11.6952,75.9375
340,Corsican,France,FRA,cos,Definitely endangered,,,160000.0,42.0819,9.0307
340,Corsican,France,ITA,cos,Definitely endangered,,,160000.0,42.0819,9.0307
340,Corsican,Italy,FRA,cos,Definitely endangered,,,160000.0,42.0819,9.0307
340,Corsican,Italy,ITA,cos,Definitely endangered,,,160000.0,42.0819,9.0307
1253,Dzongkha,Bhutan,BTN,dzo,Vulnerable,Drukke; Drukha; Drukpa; Bhutanese; Jonkha; Zongkhar; Lunakha (dialect); Lâyakha (dialect),,160000.0,27.44,89.6731
368,Kalmyk,Russian Federation,RUS,xal,Definitely endangered,Kalmuck,,153602.0,46.2026,45.8239
1071,Lak,Russian Federation,RUS,lbe,Vulnerable,,,153373.0,42.0125,47.2521
332,Asturian-Leonese,Spain,ESP,ast,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Spain,ESP,ext,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Spain,ESP,mwl,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Spain,PRT,ast,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Spain,PRT,ext,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Spain,PRT,mwl,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Portugal,ESP,ast,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Portugal,ESP,ext,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Portugal,ESP,mwl,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Portugal,PRT,ast,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Portugal,PRT,ext,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
332,Asturian-Leonese,Portugal,PRT,mwl,Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689
376,Latgalian,Latvia,LVA,lav,Vulnerable,,,150000.0,56.1822,27.1362
376,Latgalian,Latvia,RUS,lav,Vulnerable,,,150000.0,56.1822,27.1362
376,Latgalian,Russian Federation,LVA,lav,Vulnerable,,,150000.0,56.1822,27.1362
376,Latgalian,Russian Federation,RUS,lav,Vulnerable,,,150000.0,56.1822,27.1362
404,Provençal,France,FRA,oci,Severely endangered,occitan provençal,provençau,150000.0,43.5485,6.1083
1174,Rabha,India,IND,rah,Vulnerable,Rava,,150000.0,25.9284,90.9777
1996,Tamzabit,Algeria,DZA,mzb,Vulnerable,"Tumzabt, Tamzabt, Mozabite",,150000.0,32.4816,3.6694
1128,Sherpa,China,CHN,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,China,IND,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,China,NPL,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,India,CHN,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,India,IND,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,India,NPL,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,Nepal,CHN,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,Nepal,IND,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1128,Sherpa,Nepal,NPL,xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839
1154,Tangkhul,India,IND,nmf,Vulnerable,,,142000.0,25.0358,94.4824
1826,Q'aanjob'al,Guatemala,GTM,,Vulnerable,Qanjobal,,139830.0,15.6019,-91.4441
1569,Badaga,India,IND,bfq,Definitely endangered,Badag; Badagu; Badugu; Baduga; Vadagu,,134514.0,11.3642,76.5266
1140,Angami,India,IND,njm,Vulnerable,,,132000.0,25.7553,94.1308
1056,Laz,Georgia,GEO,lzz,Definitely endangered,Chan,,130000.0,41.2736,41.2646
1056,Laz,Georgia,TUR,lzz,Definitely endangered,Chan,,130000.0,41.2736,41.2646
1056,Laz,Turkey,GEO,lzz,Definitely endangered,Chan,,130000.0,41.2736,41.2646
1056,Laz,Turkey,TUR,lzz,Definitely endangered,Chan,,130000.0,41.2736,41.2646
1073,Tabasaran,Russian Federation,RUS,tab,Vulnerable,,,128391.0,41.8081,47.9882
1553,Chambeali,India,IND,cdh,Definitely endangered,Chamaya; Chambiali; Chamiyali; Chambiyali; Chameali,,126589.0,32.9072,76.5307
1076,Abkhaz,Georgia,GEO,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Georgia,RUS,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Georgia,TUR,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Russian Federation,GEO,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Russian Federation,RUS,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Russian Federation,TUR,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Turkey,GEO,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Turkey,RUS,abk,Vulnerable,,,125000.0,43.133,40.8471
1076,Abkhaz,Turkey,TUR,abk,Vulnerable,,,125000.0,43.133,40.8471
1129,Phom,India,IND,nph,Vulnerable,,,123000.0,26.7799,94.9493
1588,Kolami,India,IND,kfb,Definitely endangered,Kulume; Kolamboli; Kolam; Kolmi; Kolamy,,121855.0,20.5093,78.1787
784,Navajo,United States of America,USA,nav,Vulnerable,"Navajo, Diné",,120000.0,35.8044,-108.475
408,Sassarese,Italy,ITA,sdc,Definitely endangered,Sassarese Sardinian,,120000.0,40.6139,8.6132
655,Tamahaq (Algeria),Algeria,DZA,thv,Vulnerable,"Tahaggart, Tamachek, Touareg, Tuareg, Toureg",,120000.0,22.8369,5.5371
1590,Konda,India,IND,kfc,Definitely endangered,Kubi; Konda-Dora,,118597.0,18.2763,82.9385
916,Sierra Totonac,Mexico,MEX,tos,Severely endangered,"Highland Totonac, Totonaco central del sur",,118367.0,20.2461,-97.6586
1564,Jaunsari,India,IND,jns,Definitely endangered,Jaunsauri; Jansauri,,114733.0,30.4859,78.0908
